2	5859725	5860095	1	1	1	0	1	17
2	5860248	5860392	1	1	1	0	2	28
3	18329886	18330117	1	1	1	0	6	31
3	18330210	18330309	1	1	1	0	3	28
3	18330391	18330510	1	1	1	0	6	33
3	18330609	18330690	1	1	1	0	7	33
4	5856	6604	2	4	1	0	1	4
4	6677	6759	2	2	1	0	1	21
4	6872	6974	2	2	1	0	3	15
5	1460	1571	2	2	1	88	1	34
5	1647	1744	2	2	1	134	0	34
5	1781	1913	2	2	1	150	0	35
5	1962	2434	2	2	1	141	2	35
5	2008	2104	2	2	1	30	0	33
5	2182	2434	2	2	1	30	0	32
5	2510	2747	2	2	1	133	0	35
5	2800	2871	2	2	1	141	0	34
5	2935	3302	2	2	1	162	2	34
5	3384	3542	2	2	1	158	0	35
5	3660	3761	2	2	1	150	0	34
5	3803	3926	2	2	1	153	0	34
5	4006	4101	2	2	1	157	0	35
5	4238	4334	2	2	1	10	0	32
5	4259	4334	2	2	1	138	0	34
5	4468	4551	2	2	1	143	0	35
5	4680	4764	2	2	1	139	0	33
5	5577	5696	2	2	1	72	0	34
5	6791	7211	2	2	1	26	0	31
5	7336	7439	2	2	1	21	0	32
5	7577	7704	2	2	1	23	0	34
5	8140	8215	2	2	1	21	0	32
5	10173	10573	1	1	1	15	0	31
5	10173	10619	1	1	1	26	0	34
5	12666	12796	1	1	1	57	0	33
5	13579	13702	2	2	1	38	1	34
5	14523	19306	1	1	0	0	1	25
5	14666	14763	2	2	1	48	0	34
5	14875	15190	2	2	1	41	0	34
5	15436	15578	2	2	1	46	0	34
5	15731	16043	2	2	1	25	0	34
5	18394	18480	2	2	1	24	0	33
5	19450	19569	2	2	1	28	0	32
5	19681	19969	2	2	1	32	0	35
5	20215	20357	2	2	1	28	0	33
5	20510	20713	2	2	1	13	0	28
5	23055	23135	1	1	1	35	0	33
5	23272	23358	1	1	1	44	0	35
5	23493	23579	1	1	1	42	0	33
5	23772	23857	1	1	1	37	0	35
5	24080	24180	1	1	1	35	0	34
5	24337	24411	1	1	1	31	0	31
5	24526	24616	1	1	1	31	0	33
5	25344	25428	2	2	1	32	0	35
5	27268	27350	2	2	1	29	0	33
5	35134	35218	2	2	1	2	0	24
5	35696	35786	2	2	1	2	0	19
5	36020	36121	2	2	1	2	0	26
5	36568	36655	2	2	1	1	0	9
5	48254	48354	1	1	1	15	0	35
5	49006	49078	1	1	1	22	0	33
5	49200	49282	1	1	1	19	0	32
5	51223	51299	1	1	1	1	0	28
5	52624	52707	1	1	1	29	0	34
5	53440	53511	1	1	1	39	0	32
5	54197	54274	1	1	1	4	0	30
5	54535	54656	1	1	1	8	0	27
5	54716	54958	1	1	1	8	0	30
5	60438	60916	1	1	1	145	0	34
5	62092	62165	2	2	1	17	0	34
5	62717	62817	2	2	1	14	0	34
5	63036	63131	2	2	1	5	0	25
5	63275	63780	2	2	1	10	0	34
5	72482	72616	1	1	1	10	0	34
5	72769	72858	1	1	1	15	0	32
